IP_Address	City	Region	Country	Latitude	Longitude
54.39.75.69	None	None	CA	43.6319	-79.3716
31.13.195.69	None	None	BG	42.696	23.332
68.97.236.69	Mustang	Oklahoma	US	35.3882	-97.7261
91.121.69.70	Noeux-les-Mines	Hauts-de-France	FR	50.4833	2.6667
35.237.72.70	None	Virginia	US	38.6583	-77.2481
54.39.75.70	None	None	CA	43.6319	-79.3716
54.39.75.70	None	None	CA	43.6319	-79.3716
58.53.83.70	None	None	CN	34.7725	113.7266
95.82.146.70	Brno	South Moravian	CZ	49.2	16.55
158.69.25.71	Montreal	Quebec	CA	45.4995	-73.5848
188.221.60.71	Burgess Hill	England	GB	50.9583	-0.1342
165.227.246.71	Frankfurt am Main	Hesse	DE	50.1188	8.6843
54.39.75.72	None	None	CA	43.6319	-79.3716
146.0.35.73	None	None	DE	51.2993	9.491
139.99.120.73	Singapore	None	SG	1.2765	103.8438
178.174.153.73	Vellinge	Skåne	SE	55.4712	13.0197
69.127.55.74	Great Neck	New York	US	40.789	-73.7262
88.198.91.74	None	None	DE	51.2993	9.491
95.216.216.74	None	None	DE	51.2993	9.491
77.76.229.74	Grettstadt	Bavaria	DE	49.9833	10.3167
185.161.6.75	Bath	England	GB	51.394	-2.3227
162.216.16.75	Newark	New Jersey	US	40.739	-74.1697
100.2.43.75	New York	New York	US	40.7809	-73.9502
92.62.63.75	St Petersburg	St.-Petersburg	RU	59.8981	30.2619
78.47.76.75	None	None	DE	51.2993	9.491
78.35.88.75	Cologne	North Rhine-Westphalia	DE	50.9324	6.9174
139.99.120.75	Singapore	None	SG	1.2765	103.8438
37.228.129.75	None	None	SC	-4.5833	55.6667
95.172.235.75	Ealing	England	GB	51.4888	-0.3048
91.121.2.76	None	None	FR	48.8582	2.3387
91.121.2.76	None	None	FR	48.8582	2.3387
82.64.20.76	La Courneuve	Île-de-France	FR	48.928	2.3963
213.178.20.76	Rosenheim	Bavaria	DE	47.855	12.1232
68.186.20.76	The Dalles	Oregon	US	45.5999	-121.1871
24.197.45.76	Birmingham	Alabama	US	33.4166	-86.7795
86.173.46.76	Petworth	England	GB	51.0355	-0.6718
88.99.225.76	None	None	DE	51.2993	9.491
159.69.23.77	None	None	DE	51.2993	9.491
158.69.25.77	Montreal	Quebec	CA	45.4995	-73.5848
158.69.25.77	Montreal	Quebec	CA	45.4995	-73.5848
5.9.152.77	None	None	DE	51.2993	9.491
95.216.216.77	None	None	DE	51.2993	9.491
84.255.235.77	Ljubljana	Ljubljana	SI	46.0503	14.5046
73.5.180.78	Minneapolis	Minnesota	US	44.9998	-93.393
95.216.216.78	None	None	DE	51.2993	9.491
71.187.223.78	Ridgewood	New Jersey	US	40.9864	-74.1112
138.201.234.78	None	None	DE	51.2993	9.491
178.84.34.79	Leerdam	Provincie Utrecht	NL	51.9007	5.0852
60.141.45.80	Takarazuka	Hyōgo	JP	34.8259	135.3792
88.193.168.80	Tampere	Pirkanmaa	FI	61.4492	23.8557
51.68.222.80	None	None	FR	48.8582	2.3387
90.253.131.81	Bath	England	GB	51.3913	-2.3654
104.238.221.81	None	None	US	37.751	-97.822
141.41.2.82	None	None	DE	51.2993	9.491
222.128.4.82	Beijing	Beijing	CN	39.9288	116.3889
5.133.65.82	None	None	LT	56.0	24.0
178.45.94.82	Samara	Samara Oblast	RU	53.1813	50.1218
45.33.112.82	Dallas	Texas	US	32.7787	-96.8217
130.185.143.82	Copenhagen	Capital Region	DK	55.6786	12.5589
221.164.234.82	Gumi	Gyeongsangbuk-do	KR	36.21	128.3542
94.237.64.83	Singapore	None	SG	1.2929	103.8547
95.216.170.83	None	None	DE	51.2993	9.491
188.134.6.84	St Petersburg	St.-Petersburg	RU	59.8981	30.2619
95.217.11.84	None	None	DE	51.2993	9.491
84.163.28.84	Weilburg	Hesse	DE	50.4844	8.2625
174.45.199.84	Casper	Wyoming	US	42.8431	-106.313
65.30.217.84	Milwaukee	Wisconsin	US	43.0191	-88.0158
188.75.254.84	Chita	Transbaikal Territory	RU	52.0333	113.55
91.200.28.85	Moscow	Moscow	RU	55.7527	37.6172
73.167.37.85	Boston	Massachusetts	US	42.3388	-71.0726
172.86.75.85	Amsterdam	North Holland	NL	52.3109	4.9453
94.130.165.85	Gera	Thuringia	DE	50.8651	12.0791
212.186.53.86	Innsbruck	Tyrol	AT	47.2637	11.4016
91.212.150.86	None	None	RU	55.7386	37.6068
95.216.155.86	None	None	DE	51.2993	9.491
70.63.170.86	Mooresville	North Carolina	US	35.5746	-80.8234
94.130.165.87	Gera	Thuringia	DE	50.8651	12.0791
94.130.165.87	Gera	Thuringia	DE	50.8651	12.0791
136.30.81.88	Chicago	Illinois	US	41.8719	-87.6589
72.211.89.88	New Orleans	Louisiana	US	29.9317	-90.1026
46.4.115.88	None	None	DE	51.2993	9.491
51.79.58.89	None	None	CA	43.6319	-79.3716
51.79.58.89	None	None	CA	43.6319	-79.3716
52.198.229.89	Tokyo	Tokyo	JP	35.6882	139.7532
71.237.0.90	Denver	Colorado	US	39.7067	-104.9694
51.79.58.90	None	None	CA	43.6319	-79.3716
51.79.58.90	None	None	CA	43.6319	-79.3716
31.184.224.90	None	St.-Petersburg	RU	59.8981	30.2619
45.20.238.90	Spring	Texas	US	30.2121	-95.5263
192.71.244.90	None	None	SE	59.3247	18.056
194.75.5.91	Nottingham	England	GB	52.9898	-1.282
51.79.58.91	None	None	CA	43.6319	-79.3716
51.79.58.91	None	None	CA	43.6319	-79.3716
108.18.106.91	Arlington	Virginia	US	38.881	-77.1362
92.134.167.91	Ambazac	Nouvelle-Aquitaine	FR	45.9598	1.4006
172.103.171.91	North Vancouver	British Columbia	CA	49.3678	-122.9278
86.166.175.91	Ilford	England	GB	51.5564	0.0714
95.216.188.91	None	None	DE	51.2993	9.491
51.79.58.92	None	None	CA	43.6319	-79.3716
144.91.88.92	Nuremberg	Bavaria	DE	49.405	11.1617
101.4.102.92	None	None	CN	34.7725	113.7266
51.77.192.92	None	None	FR	48.8582	2.3387
51.77.192.92	None	None	FR	48.8582	2.3387
88.99.242.92	None	None	DE	51.2993	9.491
37.59.44.93	None	None	FR	48.8582	2.3387
37.59.44.93	None	None	FR	48.8582	2.3387
209.141.47.93	Las Vegas	Nevada	US	36.1685	-115.1164
51.79.58.93	None	None	CA	43.6319	-79.3716
123.217.197.93	Iwaki	Fukushima-ken	JP	37.065	140.9305
86.252.204.93	Paris	Île-de-France	FR	48.8543	2.3527
51.79.58.94	None	None	CA	43.6319	-79.3716
51.79.58.94	None	None	CA	43.6319	-79.3716
149.248.61.94	None	Ontario	CA	43.6655	-79.4204
66.176.99.94	Hollywood	Florida	US	25.9843	-80.2149
209.121.109.94	Delta	British Columbia	CA	49.0982	-123.0316
51.79.117.94	None	None	CA	43.6319	-79.3716
188.214.133.94	None	None	LT	56.0	24.0
162.255.23.95	Phoenix	Arizona	US	33.4413	-112.0421
107.191.99.95	New York	New York	US	40.7308	-73.9975
51.79.117.95	None	None	CA	43.6319	-79.3716
51.79.117.95	None	None	CA	43.6319	-79.3716
51.89.181.95	None	None	FR	48.8582	2.3387
76.181.238.95	Columbus	Ohio	US	39.975	-82.8207
51.79.117.96	None	None	CA	43.6319	-79.3716
95.216.173.96	None	None	DE	51.2993	9.491
51.89.181.96	None	None	FR	48.8582	2.3387
185.152.64.97	Prague	Hlavni mesto Praha	CZ	50.0023	14.4607
51.79.117.97	None	None	CA	43.6319	-79.3716
51.79.117.97	None	None	CA	43.6319	-79.3716
116.203.176.97	None	None	DE	51.2993	9.491
51.89.181.97	None	None	FR	48.8582	2.3387
51.89.181.97	None	None	FR	48.8582	2.3387
47.100.185.97	None	None	CN	34.7725	113.7266
116.203.186.97	None	None	DE	51.2993	9.491
172.105.235.97	None	None	JP	35.69	139.69
178.70.244.97	St Petersburg	St.-Petersburg	RU	59.8981	30.2619
202.112.0.98	None	None	CN	34.7725	113.7266
51.79.117.98	None	None	CA	43.6319	-79.3716
172.118.136.98	Los Angeles	California	US	34.0769	-118.2076
87.81.162.98	Braintree	England	GB	51.9059	0.4683
31.28.25.99	Moscow	Moscow	RU	55.7527	37.6172
51.255.27.99	None	None	FR	48.8582	2.3387
95.217.72.99	None	None	DE	51.2993	9.491
51.79.117.99	None	None	CA	43.6319	-79.3716
51.91.212.99	None	None	FR	48.8582	2.3387
47.187.22.100	Southlake	Texas	US	32.9457	-97.1547
190.19.49.100	Gualeguaychú	Entre Rios	AR	-33.008	-58.511
172.105.70.100	Frankfurt am Main	Hesse	DE	50.1188	8.6843
172.104.150.100	Frankfurt am Main	Hesse	DE	50.1188	8.6843
100.11.160.100	Havertown	Pennsylvania	US	39.9776	-75.3099
94.156.174.100	None	None	BG	42.696	23.332
46.232.248.100	None	None	DE	51.2993	9.491
95.217.25.101	None	None	DE	51.2993	9.491
94.130.255.101	None	None	DE	51.2993	9.491
159.69.94.102	None	None	DE	51.2993	9.491
92.100.123.102	Kaliningrad	Kaliningradskaya Oblast'	RU	54.7065	20.511
51.83.124.102	None	None	FR	48.8582	2.3387
51.83.124.102	None	None	FR	48.8582	2.3387
46.101.234.102	Frankfurt am Main	Hesse	DE	50.1188	8.6843
51.83.124.103	None	None	FR	48.8582	2.3387
51.83.124.103	None	None	FR	48.8582	2.3387
45.31.2.104	Cleburne	Texas	US	32.339	-97.4163
116.202.99.104	None	None	DE	51.2993	9.491
139.162.102.104	Tokyo	Tokyo	JP	35.6882	139.7532
47.132.106.104	Angier	North Carolina	US	35.4897	-78.7249
51.77.118.104	None	None	FR	48.8582	2.3387
